product_url,product_name,product_price,product_rating,product_no_of_reviews,product_ASIN
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGBVC/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1692618833&sprefix=ba%2Caps%2C283&sr=8-6,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (GREY) ,599,4.0 out of 5 stars,"55,248",B09QJ7ZF2Y
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1692618833&sprefix=ba%2Caps%2C283&sr=8-7,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover ,649,3.9 out of 5 stars,"3,440",B085MHDJ93
https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1692618833&sprefix=ba%2Caps%2C283&sr=8-8,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment ","1,099",4.3 out of 5 stars,"5,599",B07CJCGBVC
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1692618833&sprefix=ba%2Caps%2C283&sr=8-9,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel ,849,4.3 out of 5 stars,"6,500",B0BJ32LQ6X
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_25_trfobq2av2_0_B09SB5DP5Y?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=99f5571e-f4bf-413e-89ee-fb3033da5563&pd_rd_w=UIQxD&pd_rd_wg=j2szv&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=16DQQ907H8YTBKVDEY8Y&qid=1692618833&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-973fd8bd-28ce-479e-8be4-fbaf1193947a,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent ",849,4.1 out of 5 stars,74,B07YDGQQN5
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=sxin_25_trfobq2av2_1_B0821PYKVK?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PYKVK&pd_rd_r=99f5571e-f4bf-413e-89ee-fb3033da5563&pd_rd_w=UIQxD&pd_rd_wg=j2szv&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=16DQQ907H8YTBKVDEY8Y&qid=1692618833&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a,"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic) ",899,4.3 out of 5 stars,"30,597",B07M9BRCQ5
https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2/ref=sxin_25_trfobq2av2_2_B09W3XLDM2?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W3XLDM2&pd_rd_r=99f5571e-f4bf-413e-89ee-fb3033da5563&pd_rd_w=UIQxD&pd_rd_wg=j2szv&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=16DQQ907H8YTBKVDEY8Y&qid=1692618833&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-973fd8bd-28ce-479e-8be4-fbaf1193947a,Amazon Basics Laptop Backpack ,310,4.2 out of 5 stars,501,B09SB5DP5Y
https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B08D5RCWV9/ref=sxin_25_trfobq2av2_3_B08D5RCWV9?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08D5RCWV9&pd_rd_r=99f5571e-f4bf-413e-89ee-fb3033da5563&pd_rd_w=UIQxD&pd_rd_wg=j2szv&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=16DQQ907H8YTBKVDEY8Y&qid=1692618833&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-973fd8bd-28ce-479e-8be4-fbaf1193947a,Blue Tree Kids Backpack Mini Travel Bag 1-6 Years COW ,420,4.0 out of 5 stars,384,B0821PYKVK
https://www.amazon.in/Amazon-Brand-Solimo-Diaper-Backpack/dp/B08FTHBRPY/ref=sxin_25_trfobq2av2_4_B08FTHBRPY?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08FTHBRPY&pd_rd_r=99f5571e-f4bf-413e-89ee-fb3033da5563&pd_rd_w=UIQxD&pd_rd_wg=j2szv&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=16DQQ907H8YTBKVDEY8Y&qid=1692618833&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-973fd8bd-28ce-479e-8be4-fbaf1193947a,"Amazon Brand - Solimo Diaper Backpack, Cat Print ",329,4.0 out of 5 stars,39,B09W3XLDM2
https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sxin_25_trfobq2av2_5_B09W4VMZ79?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W4VMZ79&pd_rd_r=99f5571e-f4bf-413e-89ee-fb3033da5563&pd_rd_w=UIQxD&pd_rd_wg=j2szv&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=16DQQ907H8YTBKVDEY8Y&qid=1692618833&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-973fd8bd-28ce-479e-8be4-fbaf1193947a,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop ,649,4.0 out of 5 stars,377,B08D5RCWV9
https://www.amazon.in/Dyazo-Backpack-Business-Notebook-computer/dp/B0C7HC675G/ref=sxin_25_trfobq2av2_6_B0C7HC675G?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0C7HC675G&pd_rd_r=99f5571e-f4bf-413e-89ee-fb3033da5563&pd_rd_w=UIQxD&pd_rd_wg=j2szv&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=16DQQ907H8YTBKVDEY8Y&qid=1692618833&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-973fd8bd-28ce-479e-8be4-fbaf1193947a,Dyazo Slim 15.6 inch Laptop Backpack Business Notebook computer bag suitable for office College School Men & Women ,298,4.5 out of 5 stars,8,B08FTHBRPY
https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B097NHH5YY/ref=sxin_25_trfobq2av2_7_B097NHH5YY?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B097NHH5YY&pd_rd_r=99f5571e-f4bf-413e-89ee-fb3033da5563&pd_rd_w=UIQxD&pd_rd_wg=j2szv&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=16DQQ907H8YTBKVDEY8Y&qid=1692618833&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-973fd8bd-28ce-479e-8be4-fbaf1193947a,Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Cute Dog & Koala ,"1,349",4.0 out of 5 stars,81,B09W4VMZ79
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1692618833&sprefix=ba%2Caps%2C283&sr=8-10,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black ,699,3.7 out of 5 stars,"7,050",B0C7HC675G
https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1692618833&sprefix=ba%2Caps%2C283&sr=8-11,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey) ,599,4.3 out of 5 stars,"7,907",B097NHH5YY
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1692618833&sprefix=ba%2Caps%2C283&sr=8-12,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown ,448,4.4 out of 5 stars,"6,040",B019HA8AYG
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692618833&sprefix=ba%2Caps%2C283&sr=8-13,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack ,199,4.5 out of 5 stars,"7,384",B07XXFB9CZ
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692618833&sprefix=ba%2Caps%2C283&sr=8-14,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER ",387,4.2 out of 5 stars,663,B07G4F6XFH
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692618833&sprefix=ba%2Caps%2C283&sr=8-15,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant) ",979,4.1 out of 5 stars,"9,705",B07BZ5VC4H
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692618833&sprefix=ba%2Caps%2C283&sr=8-16,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs ,"2,099",3.9 out of 5 stars,"1,148",B0BTD4FK9G
